,Trial,Frame,Rater,Label,Label_ID
0,P01T04,175,Algorithm,Head,0
1,P01T04,175,ManualRaters,True,1
2,P01T04,175,Rater1,Head,0
3,P01T04,175,Rater1_Algorithm,True,1
4,P01T04,175,Rater1_Rater2,True,1
5,P01T04,175,Rater1_Rater3,True,1
6,P01T04,175,Rater2,Head,0
7,P01T04,175,Rater2_Algorithm,True,1
8,P01T04,175,Rater2_Rater3,True,1
9,P01T04,175,Rater3,Head,0
10,P01T04,175,Rater3_Algorithm,True,1
11,P01T04,176,Algorithm,Chest,2
12,P01T04,176,ManualRaters,False,3
13,P01T04,176,Rater1,Head,0
14,P01T04,176,Rater1_Algorithm,False,3
15,P01T04,176,Rater1_Rater2,False,3
16,P01T04,176,Rater1_Rater3,True,1
17,P01T04,176,Rater2,Chest,2
18,P01T04,176,Rater2_Algorithm,True,1
19,P01T04,176,Rater2_Rater3,False,3
20,P01T04,176,Rater3,Head,0
21,P01T04,176,Rater3_Algorithm,False,3
22,P01T04,177,Algorithm,Chest,2
23,P01T04,177,ManualRaters,False,3
24,P01T04,177,Rater1,Chest,2
25,P01T04,177,Rater1_Algorithm,True,1
26,P01T04,177,Rater1_Rater2,True,1
27,P01T04,177,Rater1_Rater3,False,3
28,P01T04,177,Rater2,Chest,2
29,P01T04,177,Rater2_Algorithm,True,1
30,P01T04,177,Rater2_Rater3,False,3
31,P01T04,177,Rater3,Head,0
32,P01T04,177,Rater3_Algorithm,False,3
33,P01T04,178,Algorithm,Chest,2
34,P01T04,178,ManualRaters,False,3
35,P01T04,178,Rater1,Chest,2
36,P01T04,178,Rater1_Algorithm,True,1
37,P01T04,178,Rater1_Rater2,True,1
38,P01T04,178,Rater1_Rater3,False,3
39,P01T04,178,Rater2,Chest,2
40,P01T04,178,Rater2_Algorithm,True,1
41,P01T04,178,Rater2_Rater3,False,3
42,P01T04,178,Rater3,Head,0
43,P01T04,178,Rater3_Algorithm,False,3
44,P01T04,179,Algorithm,Chest,2
45,P01T04,179,ManualRaters,False,3
46,P01T04,179,Rater1,Chest,2
47,P01T04,179,Rater1_Algorithm,True,1
48,P01T04,179,Rater1_Rater2,True,1
49,P01T04,179,Rater1_Rater3,False,3
50,P01T04,179,Rater2,Chest,2
51,P01T04,179,Rater2_Algorithm,True,1
52,P01T04,179,Rater2_Rater3,False,3
53,P01T04,179,Rater3,Head,0
54,P01T04,179,Rater3_Algorithm,False,3
55,P01T04,180,Algorithm,Head,0
56,P01T04,180,ManualRaters,True,1
57,P01T04,180,Rater1,Head,0
58,P01T04,180,Rater1_Algorithm,True,1
