,Trial,Frame,Rater,Label
0,P01T04,175,Algorithm,Head
1,P01T04,175,Rater1,Head
2,P01T04,175,Rater2,Head
3,P01T04,175,Rater3,Head
4,P01T04,176,Algorithm,Chest
5,P01T04,176,Rater1,Head
6,P01T04,176,Rater2,Chest
7,P01T04,176,Rater3,Head
8,P01T04,177,Algorithm,Chest
9,P01T04,177,Rater1,Chest
10,P01T04,177,Rater2,Chest
11,P01T04,177,Rater3,Head
12,P01T04,178,Algorithm,Chest
13,P01T04,178,Rater1,Chest
14,P01T04,178,Rater2,Chest
15,P01T04,178,Rater3,Head
16,P01T04,179,Algorithm,Chest
17,P01T04,179,Rater1,Chest
18,P01T04,179,Rater2,Chest
19,P01T04,179,Rater3,Head
20,P01T04,180,Algorithm,Head
21,P01T04,180,Rater1,Head
22,P01T04,180,Rater2,Head
23,P01T04,180,Rater3,Head
24,P01T04,181,Algorithm,Head
25,P01T04,181,Rater1,Head
26,P01T04,181,Rater2,Head
27,P01T04,181,Rater3,Head
28,P01T04,182,Algorithm,Head
29,P01T04,182,Rater1,Head
30,P01T04,182,Rater2,Head
31,P01T04,182,Rater3,Head
32,P01T04,183,Algorithm,Head
33,P01T04,183,Rater1,Head
34,P01T04,183,Rater2,Head
35,P01T04,183,Rater3,Head
36,P01T04,184,Algorithm,Head
37,P01T04,184,Rater1,Head
38,P01T04,184,Rater2,Head
39,P01T04,184,Rater3,Head
40,P01T04,185,Algorithm,Head
41,P01T04,185,Rater1,Head
42,P01T04,185,Rater2,Head
43,P01T04,185,Rater3,Head
44,P01T04,186,Algorithm,Head
45,P01T04,186,Rater1,Head
46,P01T04,186,Rater2,Head
47,P01T04,186,Rater3,Head
48,P01T04,187,Algorithm,Head
49,P01T04,187,Rater1,Head
50,P01T04,187,Rater2,Head
51,P01T04,187,Rater3,Head
52,P01T04,188,Algorithm,Chest
53,P01T04,188,Rater1,Head
54,P01T04,188,Rater2,Head
55,P01T04,188,Rater3,Head
56,P01T04,189,Algorithm,Chest
57,P01T04,189,Rater1,Head
58,P01T04,189,Rater2,Head
59,P01T04,189,Rater3,Head
60,P01T04,190,Algorithm,Chest
61,P01T04,190,Rater1,Head
62,P01T04,190,Rater2,Head
63,P01T04,190,Rater3,Head
64,P01T04,191,Algorithm,Head
65,P01T04,191,Rater1,Head
66,P01T04,191,Rater2,Head
67,P01T04,191,Rater3,Head
68,P01T04,192,Algorithm,Chest
69,P01T04,192,Rater1,Chest
70,P01T04,192,Rater2,Head
71,P01T04,192,Rater3,Head
72,P01T04,193,Algorithm,Chest
73,P01T04,193,Rater1,Chest
74,P01T04,193,Rater2,Chest
75,P01T04,193,Rater3,Chest
76,P01T04,194,Algorithm,Chest
77,P01T04,194,Rater1,Chest
78,P01T04,194,Rater2,Chest
79,P01T04,194,Rater3,Chest
80,P01T04,195,Algorithm,Chest
81,P01T04,195,Rater1,Chest
82,P01T04,195,Rater2,Chest
83,P01T04,195,Rater3,Chest
84,P01T04,196,Algorithm,Chest
85,P01T04,196,Rater1,Chest
86,P01T04,196,Rater2,Chest
87,P01T04,196,Rater3,Chest
88,P01T04,197,Algorithm,Chest
89,P01T04,197,Rater1,Chest
90,P01T04,197,Rater2,Chest
91,P01T04,197,Rater3,Chest
92,P01T04,198,Algorithm,Chest
93,P01T04,198,Rater1,Chest
94,P01T04,198,Rater2,Chest
95,P01T04,198,Rater3,Chest
96,P01T04,199,Algorithm,Chest
97,P01T04,199,Rater1,Chest
98,P01T04,199,Rater2,Chest
99,P01T04,199,Rater3,Chest
100,P01T04,200,Algorithm,Chest
101,P01T04,200,Rater1,Chest
102,P01T04,200,Rater2,Chest
103,P01T04,200,Rater3,Chest
104,P01T04,201,Algorithm,Chest
105,P01T04,201,Rater1,Chest
106,P01T04,201,Rater2,Chest
107,P01T04,201,Rater3,Chest
108,P01T04,202,Algorithm,Chest
109,P01T04,202,Rater1,Chest
110,P01T04,202,Rater2,Chest
111,P01T04,202,Rater3,Chest
112,P01T04,203,Algorithm,Chest
113,P01T04,203,Rater1,Chest
114,P01T04,203,Rater2,Chest
115,P01T04,203,Rater3,Chest
116,P01T04,204,Algorithm,Chest
117,P01T04,204,Rater1,Chest
118,P01T04,204,Rater2,Chest
119,P01T04,204,Rater3,Chest
120,P01T04,205,Algorithm,Chest
121,P01T04,205,Rater1,Chest
122,P01T04,205,Rater2,Chest
123,P01T04,205,Rater3,Chest
124,P01T04,206,Algorithm,Chest
125,P01T04,206,Rater1,Chest
126,P01T04,206,Rater2,Chest
127,P01T04,206,Rater3,Chest
128,P01T04,207,Algorithm,Chest
129,P01T04,207,Rater1,Chest
130,P01T04,207,Rater2,Chest
131,P01T04,207,Rater3,Chest
132,P01T04,208,Algorithm,Chest
133,P01T04,208,Rater1,Chest
134,P01T04,208,Rater2,Chest
135,P01T04,208,Rater3,Chest
136,P01T04,209,Algorithm,Chest
137,P01T04,209,Rater1,Chest
138,P01T04,209,Rater2,Chest
139,P01T04,209,Rater3,Chest
140,P01T04,210,Algorithm,Chest
141,P01T04,210,Rater1,Chest
142,P01T04,210,Rater2,Chest
143,P01T04,210,Rater3,Chest
144,P01T04,211,Algorithm,Chest
145,P01T04,211,Rater1,Chest
146,P01T04,211,Rater2,Chest
147,P01T04,211,Rater3,Chest
148,P01T04,212,Algorithm,Chest
149,P01T04,212,Rater1,Chest
150,P01T04,212,Rater2,Chest
151,P01T04,212,Rater3,Chest
152,P01T04,213,Algorithm,Chest
153,P01T04,213,Rater1,Chest
154,P01T04,213,Rater2,Chest
155,P01T04,213,Rater3,Chest
156,P01T04,214,Algorithm,Chest
157,P01T04,214,Rater1,Chest
158,P01T04,214,Rater2,Chest
159,P01T04,214,Rater3,Chest
160,P01T04,215,Algorithm,Chest
161,P01T04,215,Rater1,Chest
162,P01T04,215,Rater2,Chest
163,P01T04,215,Rater3,Chest
164,P01T04,216,Algorithm,Chest
165,P01T04,216,Rater1,Chest
166,P01T04,216,Rater2,Chest
167,P01T04,216,Rater3,Chest
168,P01T04,218,Algorithm,Chest
169,P01T04,218,Rater1,Chest
170,P01T04,218,Rater2,Chest
171,P01T04,218,Rater3,Chest
172,P01T04,219,Algorithm,Chest
173,P01T04,219,Rater1,Chest
174,P01T04,219,Rater2,Chest
175,P01T04,219,Rater3,Chest
176,P01T04,220,Algorithm,Chest
177,P01T04,220,Rater1,Chest
178,P01T04,220,Rater2,Chest
179,P01T04,220,Rater3,Chest
180,P01T04,221,Algorithm,Chest
181,P01T04,221,Rater1,Chest
182,P01T04,221,Rater2,Chest
183,P01T04,221,Rater3,Chest
184,P01T04,222,Algorithm,Chest
185,P01T04,222,Rater1,Chest
186,P01T04,222,Rater2,Chest
187,P01T04,222,Rater3,Chest
188,P01T04,223,Algorithm,Chest
189,P01T04,223,Rater1,Chest
